Bulan,Grid,Latitude,Longitude,Klorofil,SST,Hasil Tangkapan
2020-01,A1,-6.81249,109.93749,0.78,30.2,3136.39804694214
2020-01,A2,-6.77083,109.93749,0.659,30.025,3110.29542864782
2020-01,A3,-6.72916,109.93749,0.619,29.96,3100.93660201035
2020-01,A4,-6.68749,109.93749,0.496,30,3096.64855780555
2020-01,B1,-6.81249,109.97916,0.714,30.14,3125.78003272072
2020-01,B2,-6.77083,109.97916,0.606,30.075,3111.79284090981
2020-01,B3,-6.72916,109.97916,0.551,30.17,3117.74845786093
2020-01,B4,-6.68749,109.97916,0.48,30.165,3112.40541865336
2020-01,C1,-6.81249,110.02083,0.636,30.185,3125.06535868659
2020-01,C2,-6.77083,110.02083,0.567,30.35,3137.21481726687
2020-01,C3,-6.72916,110.02083,0.512,30.285,3126.83502772349
2020-01,C4,-6.68749,110.02083,0.462,30.26,3120.87941077237
2020-02,A1,-6.81249,109.93749,0.455,29.98,3585.71773512572
2020-02,A2,-6.77083,109.93749,0.455,30,3588.08584810434
2020-02,A3,-6.72916,109.93749,0.026,29.46,3490.28278208737
2020-02,A4,-6.68749,109.93749,0.383,29.465,3519.05535477759
2020-02,B1,-6.81249,109.97916,0.525,29.88,3579.40276718274
2020-02,B2,-6.77083,109.97916,0.486,29.675,3552.05106227969
2020-02,B3,-6.72916,109.97916,0.381,29.795,3557.97134472623
2020-02,B4,-6.68749,109.97916,0.381,29.525,3526.00181951488
2020-02,C1,-6.81249,110.02083,0.588,29.975,3595.62434108628
2020-02,C2,-6.77083,110.02083,0.479,29.625,3545.57822013813
2020-02,C3,-6.72916,110.02083,0.374,29.44,3515.38477966074
2020-02,C4,-6.68749,110.02083,0.364,29.535,3525.8439453163
2020-03,A1,-6.81249,109.93749,1.466,30.67,6518.24353472444
2020-03,A2,-6.77083,109.93749,0.801,30.59,6410.45517604738
2020-03,A3,-6.72916,109.93749,0.424,30.68,6377.22615337241
2020-03,A4,-6.68749,109.93749,0.252,31.005,6420.54746185981
2020-03,B1,-6.81249,109.97916,1.394,30.7,6514.53616442599
2020-03,B2,-6.77083,109.97916,0.798,30.635,6419.31167176033
2020-03,B3,-6.72916,109.97916,0.455,30.635,6372.21433796895
2020-03,B4,-6.68749,109.97916,0.267,30.885,6397.89131003597
2020-03,C1,-6.81249,110.02083,1.587,30.685,6537.94752131062
2020-03,C2,-6.77083,110.02083,0.859,30.525,6405.03143061076
2020-03,C3,-6.72916,110.02083,0.478,30.645,6377.43211838899
2020-03,C4,-6.68749,110.02083,0.293,30.835,6391.16311949435
2020-04,A1,-6.81249,109.93749,1.734,30.845,11722.5914211046
2020-04,A2,-6.77083,109.93749,0.831,30.945,11538.6990148238
2020-04,A3,-6.72916,109.93749,0.471,31.15,11525.8778311189
2020-04,A4,-6.68749,109.93749,0.374,31.015,11452.7360307456
2020-04,B1,-6.81249,109.97916,1.719,31.15,11830.6556837598
2020-04,B2,-6.77083,109.97916,0.899,31.12,11619.4114189085
2020-04,B3,-6.72916,109.97916,0.516,31.135,11531.3726241353
2020-04,B4,-6.68749,109.97916,0.392,30.915,11420.4999117163
2020-04,C1,-6.81249,110.02083,1.585,31.025,11752.1411968815
2020-04,C2,-6.77083,110.02083,0.908,31.12,11621.6093361151
2020-04,C3,-6.72916,110.02083,0.537,31.14,11538.3326952893
2020-04,C4,-6.68749,110.02083,0.389,30.995,11449.0728354013
2020-05,A1,-6.81249,109.93749,1.022,30.935,4261.38991568228
2020-05,A2,-6.77083,109.93749,0.623,30.955,4228.23294241136
2020-05,A3,-6.72916,109.93749,0.484,30.875,4204.96016171443
2020-05,A4,-6.68749,109.93749,0.384,30.925,4202.71375431125
2020-05,B1,-6.81249,109.97916,1.042,30.92,4261.16527494196
2020-05,B2,-6.77083,109.97916,0.793,30.985,4247.5520460787
2020-05,B3,-6.72916,109.97916,0.492,30.84,4200.96155653677
2020-05,B4,-6.68749,109.97916,0.377,30.865,4193.99769358692
2020-05,C1,-6.81249,110.02083,1.33,30.875,4280.978588238
2020-05,C2,-6.77083,110.02083,1.004,30.99,4267.18564678248
2020-05,C3,-6.72916,110.02083,0.558,30.87,4210.93560540688
2020-05,C4,-6.68749,110.02083,0.375,30.94,4203.92681430897
2020-06,A1,-6.81249,109.93749,1.087,30.505,6584.9450370499
2020-06,A2,-6.77083,109.93749,0.662,30.545,6533.63688052089
2020-06,A3,-6.72916,109.93749,0.566,30.55,6521.19640969126
2020-06,A4,-6.68749,109.93749,0.544,30.545,6517.04958608138
2020-06,B1,-6.81249,109.97916,1.127,30.485,6586.35073996851
2020-06,B2,-6.77083,109.97916,0.68,30.55,6537.22142296333
2020-06,B3,-6.72916,109.97916,0.572,30.565,6525.20266300927
2020-06,B4,-6.68749,109.97916,0.555,30.51,6511.21591896918
2020-06,C1,-6.81249,110.02083,1.21,30.49,6599.07235138186
2020-06,C2,-6.77083,110.02083,0.756,30.53,6543.68765638891
2020-06,C3,-6.72916,110.02083,0.583,30.56,6525.69465903078
2020-06,C4,-6.68749,110.02083,0.569,30.56,6523.72667494474
2020-07,A1,-6.81249,109.93749,0.709,30.24,6741.39837508671
2020-07,A2,-6.77083,109.93749,0.596,30.225,6721.57030241693
2020-07,A3,-6.72916,109.93749,0.555,30.32,6736.42306533931
2020-07,A4,-6.68749,109.93749,0.531,30.355,6740.59354556875
2020-07,B1,-6.81249,109.97916,0.814,30.295,6768.83574501723
2020-07,B2,-6.77083,109.97916,0.637,30.225,6727.56994064174
2020-07,B3,-6.72916,109.97916,0.571,30.29,6732.17941879006
2020-07,B4,-6.68749,109.97916,0.552,30.26,6722.81412985378
2020-07,C1,-6.81249,110.02083,1.029,30.325,6806.88223132087
2020-07,C2,-6.77083,110.02083,0.712,30.25,6744.03236260004
2020-07,C3,-6.72916,110.02083,0.602,30.28,6734.52074102413
2020-07,C4,-6.68749,110.02083,0.579,30.23,6720.18014234045
2020-08,A1,-6.81249,109.93749,0.452,29.975,2501.83031985796
2020-08,A2,-6.77083,109.93749,0.324,29.88,2486.92879938495
2020-08,A3,-6.72916,109.93749,0.283,29.985,2493.3466446164
2020-08,A4,-6.68749,109.93749,0.275,29.83,2480.09778815148
2020-08,B1,-6.81249,109.97916,0.457,29.905,2496.32143983097
2020-08,B2,-6.77083,109.97916,0.319,29.95,2492.43767941194
2020-08,B3,-6.72916,109.97916,0.28,29.945,2489.87605019939
2020-08,B4,-6.68749,109.97916,0.274,29.855,2482.10852936134
2020-08,C1,-6.81249,110.02083,0.404,29.845,2488.44374139238
2020-08,C2,-6.77083,110.02083,0.328,29.9,2488.80181859413
2020-08,C3,-6.72916,110.02083,0.287,29.965,2491.91433580938
2020-08,C4,-6.68749,110.02083,0.274,29.925,2487.89285338968
2020-09,A1,-6.81249,109.93749,0.33,30.355,8244.94188405743
2020-09,A2,-6.77083,109.93749,0.223,30.255,8198.73964771613
2020-09,A3,-6.72916,109.93749,0.177,30.28,8197.21155818733
2020-09,A4,-6.68749,109.93749,0.175,30.205,8176.62729335823
2020-09,B1,-6.81249,109.97916,0.303,30.305,8226.60480971186
2020-09,B2,-6.77083,109.97916,0.227,30.27,8203.5036915412
2020-09,B3,-6.72916,109.97916,0.17,30.215,8178.42504574505
2020-09,B4,-6.68749,109.97916,0.166,30.265,8191.18908769148
2020-09,C1,-6.81249,110.02083,0.335,30.285,8226.96436018922
2020-09,C2,-6.77083,110.02083,0.225,30.205,8185.61605529234
2020-09,C3,-6.72916,110.02083,0.179,20.205,5480.71781408159
2020-09,C4,-6.68749,110.02083,0.168,30.235,8183.45875242815
2020-10,A1,-6.81249,109.93749,0.376,30.7,5568.26076409945
2020-10,A2,-6.77083,109.93749,0.277,30.455,5512.30949441324
2020-10,A3,-6.72916,109.93749,0.2,30.225,5461.69548410759
2020-10,A4,-6.68749,109.93749,0.156,30.23,5457.31773203139
2020-10,B1,-6.81249,109.97916,0.334,30.73,5568.62057933859
2020-10,B2,-6.77083,109.97916,0.249,30.56,5527.84151890276
2020-10,B3,-6.72916,109.97916,0.185,30.315,5476.08809367318
2020-10,B4,-6.68749,109.97916,0.151,30.17,5445.92358279197
2020-10,C1,-6.81249,110.02083,0.337,30.725,5568.08085647988
2020-10,C2,-6.77083,110.02083,0.237,30.585,5530.89994843545
2020-10,C3,-6.72916,110.02083,0.166,30.4,5489.10141148873
2020-10,C4,-6.68749,110.02083,0.148,30.205,5451.86053423777
2020-11,A1,-6.81249,109.93749,0.374,31.45,6844.74301234929
2020-11,A2,-6.77083,109.93749,0.269,31.655,6873.89316187927
2020-11,A3,-6.72916,109.93749,0.184,31.81,6895.12598684554
2020-11,A4,-6.68749,109.93749,0.166,32.03,6940.03880982506
2020-11,B1,-6.81249,109.97916,0.421,31.475,6856.90690190625
2020-11,B2,-6.77083,109.97916,0.289,31.625,6870.29437798668
2020-11,B3,-6.72916,109.97916,0.178,31.735,6878.06775119467
2020-11,B4,-6.68749,109.97916,0.161,31.89,6909.08926834879
2020-11,C1,-6.81249,110.02083,0.489,31.515,6875.3326754363
2020-11,C2,-6.77083,110.02083,0.355,31.63,6880.87480263089
2020-11,C3,-6.72916,110.02083,0.195,31.74,6881.59455940941
2020-11,C4,-6.68749,110.02083,0.162,31.815,6893.03869218784
2020-12,A1,-6.81249,109.93749,0.938,30.9,3044.36894919478
2020-12,A2,-6.77083,109.93749,0.893,30.955,3046.78317342914
2020-12,A3,-6.72916,109.93749,0.853,31.04,3052.41636330934
2020-12,A4,-6.68749,109.93749,0.491,30.78,3004.00311999614
2020-12,B1,-6.81249,109.97916,1.351,30.72,3053.57519094183
2020-12,B2,-6.77083,109.97916,1.118,30.9,3055.95722551974
2020-12,B3,-6.72916,109.97916,0.935,30.95,3049.00425972476
2020-12,B4,-6.68749,109.97916,0.535,30.79,3007.80149945821
2020-12,C1,-6.81249,110.02083,2.888,31.04,3183.42826509439
2020-12,C2,-6.77083,110.02083,2.457,30.67,3119.95026255873
2020-12,C3,-6.72916,110.02083,1.127,30.955,3061.8479326516
2020-12,C4,-6.68749,110.02083,0.604,30.755,3008.86375812133
2021-01,A1,-6.81249,109.93749,0.026,30,2320.22675929069
2021-01,A2,-6.77083,109.93749,0.026,30,2320.22675929069
2021-01,A3,-6.72916,109.93749,0.543,29.38,2298.94453009895
2021-01,A4,-6.68749,109.93749,0.543,29.215,2286.1906518303
2021-01,B1,-6.81249,109.97916,2.251,29.045,2361.06493516103
2021-01,B2,-6.77083,109.97916,2.251,29.405,2388.89157865627
2021-01,B3,-6.72916,109.97916,0.026,29.38,2272.30309549332
2021-01,B4,-6.68749,109.97916,0.026,29.49,2280.80568100576
2021-01,C1,-6.81249,110.02083,2.251,29.31,2381.54843662281
2021-01,C2,-6.77083,110.02083,2.251,29.31,2381.54843662281
2021-01,C3,-6.72916,110.02083,0.026,29.52,2283.12456796369
2021-01,C4,-6.68749,110.02083,0.026,29.52,2283.12456796369
2021-02,A1,-6.81249,109.93749,1.347,28.11,3389.6761783568
2021-02,A2,-6.77083,109.93749,1.347,28,3376.82233184483
2021-02,A3,-6.72916,109.93749,0.867,27.91,3328.91254030021
2021-02,A4,-6.68749,109.93749,0.867,27.85,3321.90135129368
2021-02,B1,-6.81249,109.97916,1.366,28.16,3396.99897576362
2021-02,B2,-6.77083,109.97916,1.329,28.07,3383.59981455114
2021-02,B3,-6.72916,109.97916,0.867,27.865,3323.65414854531
2021-02,B4,-6.68749,109.97916,0.867,27.865,3323.65414854531
2021-02,C1,-6.81249,110.02083,1.475,28.115,3400.23191291663
2021-02,C2,-6.77083,110.02083,1.332,28.045,3380.91219209864
2021-02,C3,-6.72916,110.02083,0.026,27.905,3262.81260838865
2021-02,C4,-6.68749,110.02083,0.026,27.965,3269.82379739518
2021-03,A1,-6.81249,109.93749,0.884,29.745,5760.78102174327
2021-03,A2,-6.77083,109.93749,0.679,29.705,5727.23032625495
2021-03,A3,-6.72916,109.93749,0.516,29.73,5711.34122329727
2021-03,A4,-6.68749,109.93749,0.469,29.875,5732.92761416806
2021-03,B1,-6.81249,109.97916,0.878,29.76,5762.87002731141
2021-03,B2,-6.77083,109.97916,0.666,29.635,5712.29077128279
2021-03,B3,-6.72916,109.97916,0.49,29.72,5706.15036097644
2021-03,B4,-6.68749,109.97916,0.433,29.825,5718.87430398239
2021-03,C1,-6.81249,110.02083,1.225,29.86,5825.79340715178
2021-03,C2,-6.77083,110.02083,0.712,29.64,5719.06421357949
2021-03,C3,-6.72916,110.02083,0.479,29.62,5685.7667308873
2021-03,C4,-6.68749,110.02083,0.391,29.79,5706.90999936485
2021-04,A1,-6.81249,109.93749,0.684,30.285,5551.38185617226
2021-04,A2,-6.77083,109.93749,0.575,30.135,5511.17146310412
2021-04,A3,-6.72916,109.93749,0.514,30.165,5509.2452167296
2021-04,A4,-6.68749,109.93749,0.452,30.12,5493.65466013581
2021-04,B1,-6.81249,109.97916,0.894,30.24,5568.53748794534
2021-04,B2,-6.77083,109.97916,0.604,30.115,5511.05107270571
2021-04,B3,-6.72916,109.97916,0.507,30.205,5515.6259078452
2021-04,B4,-6.68749,109.97916,0.449,30.155,5499.61398485699
2021-04,C1,-6.81249,110.02083,0.965,30.205,5570.76471031588
2021-04,C2,-6.77083,110.02083,0.657,30.12,5518.33469180937
2021-04,C3,-6.72916,110.02083,0.531,30.255,5527.54455728755
2021-04,C4,-6.68749,110.02083,0.425,30.24,5512.07439109218
2021-05,A1,-6.81249,109.93749,0.757,30.41,11464.4449155557
2021-05,A2,-6.77083,109.93749,0.524,30.42,11410.549267501
2021-05,A3,-6.72916,109.93749,0.395,30.4,11371.2400563052
2021-05,A4,-6.68749,109.93749,0.343,30.475,11386.1973347791
2021-05,B1,-6.81249,109.97916,0.87,30.45,11507.2153151587
2021-05,B2,-6.77083,109.97916,0.62,30.475,11454.6794196926
2021-05,B3,-6.72916,109.97916,0.437,30.49,11414.9993668817
2021-05,B4,-6.68749,109.97916,0.386,30.505,11407.9533761957
2021-05,C1,-6.81249,110.02083,0.946,30.42,11514.8793752032
2021-05,C2,-6.77083,110.02083,0.697,30.515,11488.5496205343
2021-05,C3,-6.72916,110.02083,0.476,30.49,11424.6412488731
2021-05,C4,-6.68749,110.02083,0.435,30.485,11412.6507033197
2021-06,A1,-6.81249,109.93749,1.338,30.665,5613.97694824893
2021-06,A2,-6.77083,109.93749,0.754,30.695,5550.05170028269
2021-06,A3,-6.72916,109.93749,0.615,30.605,5517.55537756887
2021-06,A4,-6.68749,109.93749,0.494,30.585,5499.64682016088
2021-06,B1,-6.81249,109.97916,1.183,30.495,5565.35106389613
2021-06,B2,-6.77083,109.97916,0.853,30.585,5542.22411889907
2021-06,B3,-6.72916,109.97916,0.673,30.675,5536.88713159205
2021-06,B4,-6.68749,109.97916,0.556,30.68,5523.90046247832
2021-06,C1,-6.81249,110.02083,1.521,30.435,5594.76379394368
2021-06,C2,-6.77083,110.02083,0.959,30.58,5553.90619111553
2021-06,C3,-6.72916,110.02083,0.746,30.63,5537.53943004069
2021-06,C4,-6.68749,110.02083,0.641,30.625,5524.19696177315
2021-07,A1,-6.81249,109.93749,0.798,30.275,4540.21005459875
2021-07,A2,-6.77083,109.93749,0.762,30.275,4536.67303245085
2021-07,A3,-6.72916,109.93749,0.756,30.23,4529.45161223222
2021-07,A4,-6.68749,109.93749,0.714,30.185,4518.69316986569
2021-07,B1,-6.81249,109.97916,0.902,30.21,4540.84868359768
2021-07,B2,-6.77083,109.97916,0.795,30.195,4528.12522892676
2021-07,B3,-6.72916,109.97916,0.802,30.135,4519.97042786354
2021-07,B4,-6.68749,109.97916,0.727,30.115,4509.6541132655
2021-07,C1,-6.81249,110.02083,1.059,30.125,4543.74707674665
2021-07,C2,-6.77083,110.02083,0.848,30.135,4524.48995616364
2021-07,C3,-6.72916,110.02083,0.834,30.105,4518.69316986569
2021-07,C4,-6.68749,110.02083,0.742,30.09,4507.44347442306
2021-08,A1,-6.81249,109.93749,0.538,30.09,5001.52580820765
2021-08,A2,-6.77083,109.93749,0.317,30.13,4983.89513680175
2021-08,A3,-6.72916,109.93749,0.262,30.14,4979.51484576923
2021-08,A4,-6.68749,109.93749,0.299,30.14,4983.56661497431
2021-08,B1,-6.81249,109.97916,0.51,30.055,4992.7104725047
2021-08,B2,-6.77083,109.97916,0.34,30.16,4991.34163155704
2021-08,B3,-6.72916,109.97916,0.283,30.13,4980.17188942411
2021-08,B4,-6.68749,109.97916,0.331,30.11,4982.14302038874
2021-08,C1,-6.81249,110.02083,0.6,30.015,4995.99569077909
2021-08,C2,-6.77083,110.02083,0.453,30.105,4994.68160346934
2021-08,C3,-6.72916,110.02083,0.388,30.09,4985.0997168357
2021-08,C4,-6.68749,110.02083,0.359,30.05,4975.35356928834
2021-09,A1,-6.81249,109.93749,0.408,30.565,4245.89110893907
2021-09,A2,-6.77083,109.93749,0.278,30.445,4217.43554703246
2021-09,A3,-6.72916,109.93749,0.227,30.445,4212.75414813815
2021-09,A4,-6.68749,109.93749,0.193,30.455,4211.01009756968
2021-09,B1,-6.81249,109.97916,0.408,30.41,4224.54943750912
2021-09,B2,-6.77083,109.97916,0.292,30.425,4215.96687286954
2021-09,B3,-6.72916,109.97916,0.259,30.45,4216.37993747786
2021-09,B4,-6.68749,109.97916,0.205,30.47,4214.17692623348
2021-09,C1,-6.81249,110.02083,0.433,30.45,4232.35176899964
2021-09,C2,-6.77083,110.02083,0.34,30.465,4225.88042346926
2021-09,C3,-6.72916,110.02083,0.288,30.495,4225.23787852299
2021-09,C4,-6.68749,110.02083,0.226,30.53,4224.36585323875
2021-10,A1,-6.81249,109.93749,0.204,30.64,4345.93278479171
2021-10,A2,-6.77083,109.93749,0.149,30.93,4381.70642785169
2021-10,A3,-6.72916,109.93749,0.144,30.995,4390.41448570182
2021-10,A4,-6.68749,109.93749,0.155,30.75,4356.8531600416
2021-10,B1,-6.81249,109.97916,0.219,30.645,4348.05096102552
2021-10,B2,-6.77083,109.97916,0.159,30.875,4374.88119332051
2021-10,B3,-6.72916,109.97916,0.153,30.985,4389.84963870613
2021-10,B4,-6.68749,109.97916,0.153,30.9,4377.84664004785
2021-10,C1,-6.81249,110.02083,0.268,30.625,4349.83964317852
2021-10,C2,-6.77083,110.02083,0.201,30.815,4370.36241735504
2021-10,C3,-6.72916,110.02083,0.169,30.8,4365.23172381091
2021-10,C4,-6.68749,110.02083,0.165,30.78,4362.0309241687
2021-11,A1,-6.81249,109.93749,0.674,31.19,3863.63902621359
2021-11,A2,-6.77083,109.93749,0.301,31.36,3854.03264164811
2021-11,A3,-6.72916,109.93749,0.161,31.26,3830.42373042786
2021-11,A4,-6.68749,109.93749,0.135,30.87,3780.68219678795
2021-11,B1,-6.81249,109.97916,0.685,31.295,3877.35661773295
2021-11,B2,-6.77083,109.97916,0.325,28.595,3518.33834710774
2021-11,B3,-6.72916,109.97916,0.194,31.125,3816.62472886982
2021-11,B4,-6.68749,109.97916,0.136,31.225,3824.11445242935
2021-11,C1,-6.81249,110.02083,0.325,31.055,3818.74138987577
2021-11,C2,-6.77083,110.02083,0.325,28.25,3476.20865208539
2021-11,C3,-6.72916,110.02083,0.193,31.115,3815.32216825077
2021-11,C4,-6.68749,110.02083,0.143,31.24,3826.51604857072
2021-12,A1,-6.81249,109.93749,0.74,30.27,3189.00613001072
2021-12,A2,-6.77083,109.93749,0.553,30.39,3188.52237136059
2021-12,A3,-6.72916,109.93749,0.319,30.365,3169.75944657355
2021-12,A4,-6.68749,109.93749,0.22,30.11,3136.48376228273
2021-12,B1,-6.81249,109.97916,0.724,30.145,3174.94257496776
2021-12,B2,-6.77083,109.97916,0.711,30.34,3194.25836678352
2021-12,B3,-6.72916,109.97916,0.339,30.34,3168.55004994824
2021-12,B4,-6.68749,109.97916,0.235,30.165,3143.2218291952
2021-12,C1,-6.81249,110.02083,0.843,29.99,3167.09877399786
2021-12,C2,-6.77083,110.02083,0.676,30.385,3196.50438908767
2021-12,C3,-6.72916,110.02083,0.478,30.32,3176.08286321449
2021-12,C4,-6.68749,110.02083,0.262,30.16,3144.56944257769
2022-01,A1,-6.81249,109.93749,1.179,30.595,6278.24637753554
2022-01,A2,-6.77083,109.93749,1.179,30.77,6313.25778941116
2022-01,A3,-6.72916,109.93749,0.026,29.975,6000.42248825208
2022-01,A4,-6.68749,109.93749,0.026,30.1,6025.43063959181
2022-01,B1,-6.81249,109.97916,0.026,30.22,6049.43846487794
2022-01,B2,-6.77083,109.97916,0.026,30.785,6162.47530893351
2022-01,B3,-6.72916,109.97916,0.026,30.17,6039.43520434205
2022-01,B4,-6.68749,109.97916,0.026,30.775,6160.47465682633
2022-01,C1,-6.81249,110.02083,0.026,30.07,6019.42868327027
2022-01,C2,-6.77083,110.02083,0.026,30.07,6019.42868327027
2022-01,C3,-6.72916,110.02083,0.026,30.91,6187.48346027323
2022-01,C4,-6.68749,110.02083,0.026,30.83,6171.47824341581
2022-02,A1,-6.81249,109.93749,0.745,29.57,1584.88208543898
2022-02,A2,-6.77083,109.93749,0.553,29.69,1584.46038732312
2022-02,A3,-6.72916,109.93749,0.462,29.755,1584.68880713588
2022-02,A4,-6.68749,109.93749,0.468,29.11,1550.90024560263
2022-02,B1,-6.81249,109.97916,0.732,29.65,1588.64222697206
2022-02,B2,-6.77083,109.97916,0.529,29.72,1585.19835902587
2022-02,B3,-6.72916,109.97916,0.462,29.33,1562.28609473084
2022-02,B4,-6.68749,109.97916,0.462,28.36,1511.15519818286
2022-02,C1,-6.81249,110.02083,0.504,29.57,1576.41298161213
2022-02,C2,-6.77083,110.02083,0.504,29.57,1576.41298161213
2022-02,C3,-6.72916,110.02083,0.026,29.045,1531.94140114377
2022-02,C4,-6.68749,110.02083,0.026,28.705,1514.01923121974
2022-03,A1,-6.81249,109.93749,0.849,30.29,6367.0194723156
2022-03,A2,-6.77083,109.93749,0.537,30.23,6311.7186809434
2022-03,A3,-6.72916,109.93749,0.351,30.15,6269.62404870486
2022-03,A4,-6.68749,109.93749,0.353,30.245,6289.50206948417
2022-03,B1,-6.81249,109.97916,0.891,30.325,6380.01928521279
2022-03,B2,-6.77083,109.97916,0.519,30.17,6296.86175191803
2022-03,B3,-6.72916,109.97916,0.372,30.11,6264.25904655681
2022-03,B4,-6.68749,109.97916,0.365,30.205,6282.89898991734
2022-03,C1,-6.81249,110.02083,1.039,30.395,6414.82301709629
2022-03,C2,-6.77083,110.02083,0.542,30.16,6297.96226517917
2022-03,C3,-6.72916,110.02083,0.405,30.115,6269.83039494132
2022-03,C4,-6.68749,110.02083,0.369,30.21,6284.48097773023
2022-04,A1,-6.81249,109.93749,0.466,31.625,7131.13484692392
2022-04,A2,-6.77083,109.93749,0.359,31.625,7115.20633588358
2022-04,A3,-6.72916,109.93749,0.232,31.41,7048.29170305525
2022-04,A4,-6.68749,109.93749,0.343,31.405,7063.69918803352
2022-04,B1,-6.81249,109.97916,0.642,31.62,7156.21853019773
2022-04,B2,-6.77083,109.97916,0.464,31.71,7149.81735286376
2022-04,B3,-6.72916,109.97916,0.355,31.485,7083.34931380291
2022-04,B4,-6.68749,109.97916,0.46,31.42,7084.46579822162
2022-04,C1,-6.81249,110.02083,0.724,31.745,7196.3375369769
2022-04,C2,-6.77083,110.02083,0.531,31.815,7183.23745313064
2022-04,C3,-6.72916,110.02083,0.498,31.455,7097.93804354079
2022-04,C4,-6.68749,110.02083,0.545,31.385,7089.30389736939
2022-05,A1,-6.81249,109.93749,1.319,31.11,2794.30332983497
2022-05,A2,-6.77083,109.93749,0.497,31.135,2748.61870658023
2022-05,A3,-6.72916,109.93749,0.403,31.15,2744.45497099997
2022-05,A4,-6.68749,109.93749,0.348,31.2,2745.61965228116
2022-05,B1,-6.81249,109.97916,1.358,30.925,2780.41450555676
2022-05,B2,-6.77083,109.97916,0.662,31.06,2751.67599494336
2022-05,B3,-6.72916,109.97916,0.478,31.115,2745.76523744131
2022-05,B4,-6.68749,109.97916,0.353,31.135,2740.23300135565
2022-05,C1,-6.81249,110.02083,1.402,31.09,2797.38973523013
2022-05,C2,-6.77083,110.02083,0.957,31.05,2767.98153288004
2022-05,C3,-6.72916,110.02083,0.468,31.035,2738.19480911357
2022-05,C4,-6.68749,110.02083,0.354,31.17,2743.34852378284
2022-06,A1,-6.81249,109.93749,0.554,30.4,6189.42778291517
2022-06,A2,-6.77083,109.93749,0.396,30.735,6235.62654946225
2022-06,A3,-6.72916,109.93749,0.413,30.675,6225.83697048421
2022-06,A4,-6.68749,109.93749,0.442,30.5,6194.52372813662
2022-06,B1,-6.81249,109.97916,0.669,30.205,6165.62435457813
2022-06,B2,-6.77083,109.97916,0.455,30.63,6222.41732303297
2022-06,B3,-6.72916,109.97916,0.478,30.6,6219.46703895739
2022-06,B4,-6.68749,109.97916,0.503,30.65,6232.8774211191
2022-06,C1,-6.81249,110.02083,0.922,30.175,6193.51794947449
2022-06,C2,-6.77083,110.02083,0.628,30.41,6201.36302303909
2022-06,C3,-6.72916,110.02083,0.568,30.565,6224.49593226803
2022-06,C4,-6.68749,110.02083,0.585,30.605,6234.82192653255
2022-07,A1,-6.81249,109.93749,0.69992,30.055,3026.72526062036
2022-07,A2,-6.77083,109.93749,0.55229,29.995,3011.01528452733
2022-07,A3,-6.72916,109.93749,0.56995,29.875,3000.28281169586
2022-07,A4,-6.68749,109.93749,0.60318,29.78,2993.05885391407
